[Mon Apr 20 03:55:42 PM EDT 2026] GPU=1 model=phi_4_mini_reasoning dataset=arc_challenge strategy=zero_shot max_new_tokens=256

--- model=phi_4_mini_reasoning dataset=arc_challenge strategy=zero_shot n=500 ---
[168/500] sample_id=386 correct=1 latency=9.544s tokens=249 tps=26.09
[169/500] sample_id=387 correct=1 latency=8.343s tokens=217 tps=26.01
[170/500] sample_id=390 correct=0 latency=9.819s tokens=256 tps=26.07
[171/500] sample_id=395 correct=1 latency=6.718s tokens=175 tps=26.05
[172/500] sample_id=396 correct=1 latency=6.513s tokens=168 tps=25.79
[173/500] sample_id=397 correct=0 latency=9.851s tokens=256 tps=25.99
[174/500] sample_id=400 correct=1 latency=6.551s tokens=169 tps=25.80
[175/500] sample_id=401 correct=1 latency=9.443s tokens=245 tps=25.94
[176/500] sample_id=402 correct=0 latency=9.847s tokens=256 tps=26.00
[177/500] sample_id=404 correct=1 latency=9.798s tokens=256 tps=26.13
[178/500] sample_id=406 correct=0 latency=9.758s tokens=256 tps=26.23
[179/500] sample_id=411 correct=0 latency=9.755s tokens=256 tps=26.24
[180/500] sample_id=419 correct=1 latency=9.749s tokens=255 tps=26.16
[181/500] sample_id=423 correct=1 latency=6.988s tokens=182 tps=26.05
[182/500] sample_id=426 correct=1 latency=9.710s tokens=254 tps=26.16
[183/500] sample_id=427 correct=0 latency=8.484s tokens=220 tps=25.93
[184/500] sample_id=428 correct=0 latency=9.835s tokens=256 tps=26.03
[185/500] sample_id=431 correct=0 latency=9.760s tokens=256 tps=26.23
[186/500] sample_id=434 correct=1 latency=9.760s tokens=256 tps=26.23
[187/500] sample_id=439 correct=1 latency=8.306s tokens=218 tps=26.25
[188/500] sample_id=442 correct=1 latency=8.632s tokens=226 tps=26.18
[189/500] sample_id=443 correct=1 latency=9.819s tokens=256 tps=26.07
[190/500] sample_id=445 correct=0 latency=9.826s tokens=256 tps=26.05
[191/500] sample_id=454 correct=1 latency=9.805s tokens=256 tps=26.11
[192/500] sample_id=455 correct=1 latency=7.521s tokens=195 tps=25.93
[193/500] sample_id=458 correct=0 latency=9.740s tokens=256 tps=26.28
[194/500] sample_id=461 correct=0 latency=9.805s tokens=256 tps=26.11
[195/500] sample_id=463 correct=0 latency=9.840s tokens=256 tps=26.02
[196/500] sample_id=464 correct=1 latency=7.414s tokens=192 tps=25.90
[197/500] sample_id=470 correct=0 latency=9.807s tokens=256 tps=26.10
[198/500] sample_id=474 correct=1 latency=9.831s tokens=256 tps=26.04
[199/500] sample_id=479 correct=0 latency=9.831s tokens=256 tps=26.04
[200/500] sample_id=480 correct=0 latency=9.802s tokens=256 tps=26.12
[201/500] sample_id=482 correct=0 latency=9.734s tokens=256 tps=26.30
[202/500] sample_id=483 correct=1 latency=8.175s tokens=213 tps=26.06
[203/500] sample_id=485 correct=1 latency=9.748s tokens=254 tps=26.06
[204/500] sample_id=489 correct=1 latency=7.250s tokens=188 tps=25.93
[205/500] sample_id=491 correct=0 latency=9.812s tokens=256 tps=26.09
[206/500] sample_id=494 correct=0 latency=9.804s tokens=256 tps=26.11
[207/500] sample_id=495 correct=0 latency=9.794s tokens=256 tps=26.14
[208/500] sample_id=502 correct=0 latency=9.816s tokens=256 tps=26.08
[209/500] sample_id=503 correct=1 latency=9.797s tokens=256 tps=26.13
[210/500] sample_id=504 correct=0 latency=9.813s tokens=256 tps=26.09
[211/500] sample_id=507 correct=0 latency=9.827s tokens=256 tps=26.05
[212/500] sample_id=508 correct=1 latency=8.059s tokens=209 tps=25.93
[213/500] sample_id=509 correct=0 latency=9.861s tokens=256 tps=25.96
[214/500] sample_id=510 correct=0 latency=9.833s tokens=256 tps=26.04
[215/500] sample_id=511 correct=0 latency=9.824s tokens=256 tps=26.06
[216/500] sample_id=512 correct=1 latency=7.906s tokens=205 tps=25.93
[217/500] sample_id=513 correct=1 latency=8.617s tokens=224 tps=25.99
[218/500] sample_id=515 correct=1 latency=9.783s tokens=256 tps=26.17
[219/500] sample_id=524 correct=1 latency=8.553s tokens=224 tps=26.19
[220/500] sample_id=525 correct=1 latency=8.412s tokens=220 tps=26.15
[221/500] sample_id=528 correct=1 latency=7.380s tokens=191 tps=25.88
[222/500] sample_id=531 correct=0 latency=9.815s tokens=256 tps=26.08
[223/500] sample_id=534 correct=1 latency=9.397s tokens=245 tps=26.07
[224/500] sample_id=536 correct=1 latency=8.281s tokens=216 tps=26.08
[225/500] sample_id=537 correct=1 latency=7.980s tokens=208 tps=26.07
[226/500] sample_id=545 correct=1 latency=8.482s tokens=221 tps=26.06
[227/500] sample_id=547 correct=1 latency=8.710s tokens=228 tps=26.18
[228/500] sample_id=554 correct=0 latency=9.789s tokens=256 tps=26.15
[229/500] sample_id=557 correct=0 latency=9.822s tokens=256 tps=26.06
[230/500] sample_id=559 correct=1 latency=8.834s tokens=230 tps=26.04
[231/500] sample_id=560 correct=0 latency=9.801s tokens=256 tps=26.12
[232/500] sample_id=562 correct=0 latency=9.816s tokens=256 tps=26.08
[233/500] sample_id=571 correct=1 latency=9.834s tokens=256 tps=26.03
[234/500] sample_id=575 correct=1 latency=5.914s tokens=153 tps=25.87
[235/500] sample_id=577 correct=0 latency=9.848s tokens=256 tps=26.00
[236/500] sample_id=579 correct=0 latency=9.837s tokens=256 tps=26.02
[237/500] sample_id=580 correct=1 latency=9.848s tokens=256 tps=25.99
[238/500] sample_id=581 correct=1 latency=9.801s tokens=256 tps=26.12
[239/500] sample_id=585 correct=0 latency=9.772s tokens=256 tps=26.20
[240/500] sample_id=586 correct=0 latency=9.783s tokens=256 tps=26.17
[241/500] sample_id=587 correct=1 latency=7.607s tokens=197 tps=25.90
[242/500] sample_id=588 correct=0 latency=9.858s tokens=256 tps=25.97
[243/500] sample_id=591 correct=1 latency=7.481s tokens=194 tps=25.93
[244/500] sample_id=595 correct=1 latency=9.829s tokens=256 tps=26.05
[245/500] sample_id=599 correct=0 latency=9.825s tokens=256 tps=26.06
[246/500] sample_id=603 correct=0 latency=9.853s tokens=256 tps=25.98
[247/500] sample_id=604 correct=0 latency=9.732s tokens=256 tps=26.30
[248/500] sample_id=605 correct=1 latency=9.728s tokens=256 tps=26.31
[249/500] sample_id=606 correct=1 latency=5.572s tokens=144 tps=25.85
[250/500] sample_id=607 correct=0 latency=9.763s tokens=256 tps=26.22
[251/500] sample_id=612 correct=0 latency=9.789s tokens=256 tps=26.15
[252/500] sample_id=613 correct=1 latency=9.767s tokens=256 tps=26.21
[253/500] sample_id=614 correct=1 latency=7.098s tokens=185 tps=26.06
[254/500] sample_id=615 correct=1 latency=8.777s tokens=229 tps=26.09
[255/500] sample_id=616 correct=0 latency=9.687s tokens=256 tps=26.43
[256/500] sample_id=617 correct=1 latency=7.941s tokens=209 tps=26.32
[257/500] sample_id=618 correct=1 latency=7.663s tokens=202 tps=26.36
[258/500] sample_id=622 correct=1 latency=8.014s tokens=211 tps=26.33
[259/500] sample_id=623 correct=0 latency=9.670s tokens=256 tps=26.47
[260/500] sample_id=624 correct=0 latency=9.699s tokens=256 tps=26.39
[261/500] sample_id=625 correct=0 latency=9.752s tokens=256 tps=26.25
[262/500] sample_id=627 correct=0 latency=9.752s tokens=256 tps=26.25
[263/500] sample_id=628 correct=0 latency=9.723s tokens=256 tps=26.33
[264/500] sample_id=631 correct=1 latency=9.726s tokens=256 tps=26.32
[265/500] sample_id=632 correct=0 latency=9.753s tokens=256 tps=26.25
[266/500] sample_id=637 correct=0 latency=9.718s tokens=256 tps=26.34
[267/500] sample_id=639 correct=0 latency=9.708s tokens=256 tps=26.37
[268/500] sample_id=641 correct=1 latency=9.671s tokens=255 tps=26.37
[269/500] sample_id=642 correct=0 latency=9.713s tokens=256 tps=26.36
[270/500] sample_id=643 correct=0 latency=9.709s tokens=256 tps=26.37
[271/500] sample_id=645 correct=1 latency=9.724s tokens=256 tps=26.33
[272/500] sample_id=648 correct=0 latency=9.658s tokens=256 tps=26.51
[273/500] sample_id=650 correct=1 latency=9.694s tokens=256 tps=26.41
[274/500] sample_id=651 correct=1 latency=9.768s tokens=256 tps=26.21
[275/500] sample_id=653 correct=1 latency=9.785s tokens=256 tps=26.16
[276/500] sample_id=654 correct=1 latency=5.979s tokens=155 tps=25.92
[277/500] sample_id=655 correct=1 latency=6.395s tokens=166 tps=25.96
[278/500] sample_id=657 correct=0 latency=9.709s tokens=256 tps=26.37
[279/500] sample_id=658 correct=1 latency=8.019s tokens=212 tps=26.44
[280/500] sample_id=659 correct=0 latency=9.643s tokens=256 tps=26.55
[281/500] sample_id=662 correct=0 latency=9.717s tokens=256 tps=26.35
[282/500] sample_id=666 correct=1 latency=9.707s tokens=256 tps=26.37
[283/500] sample_id=668 correct=0 latency=9.735s tokens=256 tps=26.30
[284/500] sample_id=670 correct=0 latency=9.736s tokens=256 tps=26.29
[285/500] sample_id=671 correct=0 latency=9.727s tokens=256 tps=26.32
[286/500] sample_id=680 correct=0 latency=9.677s tokens=256 tps=26.45
[287/500] sample_id=681 correct=1 latency=8.980s tokens=237 tps=26.39
[288/500] sample_id=684 correct=1 latency=9.751s tokens=256 tps=26.25
[289/500] sample_id=688 correct=0 latency=9.768s tokens=256 tps=26.21
[290/500] sample_id=690 correct=0 latency=9.762s tokens=256 tps=26.22
[291/500] sample_id=692 correct=1 latency=9.765s tokens=256 tps=26.22
[292/500] sample_id=694 correct=1 latency=9.769s tokens=256 tps=26.20
[293/500] sample_id=695 correct=1 latency=8.408s tokens=221 tps=26.29
[294/500] sample_id=697 correct=1 latency=9.740s tokens=256 tps=26.28
[295/500] sample_id=700 correct=0 latency=9.652s tokens=256 tps=26.52
[296/500] sample_id=701 correct=0 latency=9.672s tokens=256 tps=26.47
[297/500] sample_id=702 correct=0 latency=9.693s tokens=256 tps=26.41
[298/500] sample_id=705 correct=0 latency=9.684s tokens=256 tps=26.43
[299/500] sample_id=708 correct=0 latency=9.694s tokens=256 tps=26.41
[300/500] sample_id=709 correct=1 latency=6.601s tokens=172 tps=26.06
[301/500] sample_id=710 correct=0 latency=9.678s tokens=256 tps=26.45
[302/500] sample_id=711 correct=0 latency=9.743s tokens=256 tps=26.28
[303/500] sample_id=712 correct=1 latency=9.746s tokens=256 tps=26.27
[304/500] sample_id=714 correct=0 latency=9.749s tokens=256 tps=26.26
[305/500] sample_id=715 correct=0 latency=9.782s tokens=256 tps=26.17
[306/500] sample_id=716 correct=0 latency=9.778s tokens=256 tps=26.18
[307/500] sample_id=717 correct=0 latency=9.779s tokens=256 tps=26.18
[308/500] sample_id=718 correct=1 latency=9.398s tokens=247 tps=26.28
[309/500] sample_id=719 correct=0 latency=9.759s tokens=256 tps=26.23
[310/500] sample_id=721 correct=0 latency=9.740s tokens=256 tps=26.28
[311/500] sample_id=725 correct=1 latency=5.517s tokens=143 tps=25.92
[312/500] sample_id=726 correct=0 latency=9.693s tokens=256 tps=26.41
[313/500] sample_id=728 correct=1 latency=7.185s tokens=188 tps=26.17
[314/500] sample_id=729 correct=0 latency=9.779s tokens=256 tps=26.18
[315/500] sample_id=731 correct=0 latency=9.768s tokens=256 tps=26.21
[316/500] sample_id=732 correct=0 latency=9.722s tokens=256 tps=26.33
[317/500] sample_id=738 correct=0 latency=9.659s tokens=256 tps=26.50
[318/500] sample_id=739 correct=0 latency=9.659s tokens=256 tps=26.50
[319/500] sample_id=742 correct=1 latency=5.181s tokens=135 tps=26.06
[320/500] sample_id=749 correct=0 latency=9.712s tokens=256 tps=26.36
[321/500] sample_id=750 correct=1 latency=9.039s tokens=239 tps=26.44
[322/500] sample_id=751 correct=1 latency=9.651s tokens=256 tps=26.53
[323/500] sample_id=752 correct=0 latency=9.657s tokens=256 tps=26.51
[324/500] sample_id=754 correct=1 latency=9.673s tokens=256 tps=26.47
[325/500] sample_id=755 correct=0 latency=9.658s tokens=256 tps=26.51
[326/500] sample_id=756 correct=0 latency=9.672s tokens=256 tps=26.47
[327/500] sample_id=757 correct=0 latency=9.749s tokens=256 tps=26.26
[328/500] sample_id=761 correct=1 latency=9.741s tokens=256 tps=26.28
[329/500] sample_id=762 correct=1 latency=9.740s tokens=256 tps=26.28
[330/500] sample_id=763 correct=1 latency=8.851s tokens=232 tps=26.21
[331/500] sample_id=764 correct=0 latency=9.742s tokens=256 tps=26.28
[332/500] sample_id=766 correct=0 latency=9.692s tokens=256 tps=26.41
[333/500] sample_id=767 correct=0 latency=9.706s tokens=256 tps=26.38
[334/500] sample_id=770 correct=0 latency=9.681s tokens=256 tps=26.44
[335/500] sample_id=772 correct=1 latency=9.203s tokens=244 tps=26.51
[336/500] sample_id=774 correct=1 latency=9.233s tokens=244 tps=26.43
[337/500] sample_id=776 correct=1 latency=7.551s tokens=198 tps=26.22
[338/500] sample_id=779 correct=1 latency=9.754s tokens=256 tps=26.25
[339/500] sample_id=780 correct=0 latency=9.733s tokens=256 tps=26.30
[340/500] sample_id=782 correct=1 latency=6.811s tokens=179 tps=26.28
[341/500] sample_id=785 correct=0 latency=9.714s tokens=256 tps=26.35
[342/500] sample_id=787 correct=0 latency=9.752s tokens=256 tps=26.25
[343/500] sample_id=793 correct=0 latency=9.775s tokens=256 tps=26.19
[344/500] sample_id=794 correct=0 latency=9.773s tokens=256 tps=26.19
[345/500] sample_id=796 correct=0 latency=9.781s tokens=256 tps=26.17
[346/500] sample_id=798 correct=0 latency=9.790s tokens=256 tps=26.15
[347/500] sample_id=799 correct=0 latency=9.777s tokens=256 tps=26.18
[348/500] sample_id=800 correct=0 latency=9.726s tokens=256 tps=26.32
[349/500] sample_id=804 correct=0 latency=9.644s tokens=256 tps=26.55
[350/500] sample_id=805 correct=0 latency=9.649s tokens=256 tps=26.53
[351/500] sample_id=806 correct=0 latency=9.690s tokens=256 tps=26.42
[352/500] sample_id=807 correct=0 latency=9.743s tokens=256 tps=26.28
[353/500] sample_id=808 correct=0 latency=9.747s tokens=256 tps=26.27
[354/500] sample_id=811 correct=1 latency=8.221s tokens=215 tps=26.15
[355/500] sample_id=812 correct=0 latency=9.749s tokens=256 tps=26.26
[356/500] sample_id=813 correct=1 latency=9.337s tokens=246 tps=26.35
[357/500] sample_id=815 correct=1 latency=9.667s tokens=256 tps=26.48
[358/500] sample_id=818 correct=1 latency=8.026s tokens=212 tps=26.42
[359/500] sample_id=820 correct=0 latency=9.646s tokens=256 tps=26.54
[360/500] sample_id=822 correct=1 latency=8.509s tokens=225 tps=26.44
[361/500] sample_id=829 correct=1 latency=9.649s tokens=256 tps=26.53
[362/500] sample_id=830 correct=0 latency=9.677s tokens=256 tps=26.45
[363/500] sample_id=831 correct=1 latency=9.631s tokens=253 tps=26.27
[364/500] sample_id=832 correct=1 latency=6.553s tokens=172 tps=26.25
[365/500] sample_id=836 correct=0 latency=9.712s tokens=256 tps=26.36
[366/500] sample_id=838 correct=0 latency=9.710s tokens=256 tps=26.37
[367/500] sample_id=841 correct=0 latency=9.782s tokens=256 tps=26.17
[368/500] sample_id=842 correct=0 latency=9.780s tokens=256 tps=26.18
[369/500] sample_id=844 correct=1 latency=4.104s tokens=105 tps=25.59
[370/500] sample_id=846 correct=0 latency=9.744s tokens=256 tps=26.27
[371/500] sample_id=850 correct=1 latency=6.450s tokens=168 tps=26.04
[372/500] sample_id=851 correct=0 latency=9.709s tokens=256 tps=26.37
[373/500] sample_id=852 correct=0 latency=9.671s tokens=256 tps=26.47
[374/500] sample_id=853 correct=0 latency=9.680s tokens=256 tps=26.45
[375/500] sample_id=854 correct=1 latency=6.389s tokens=168 tps=26.30
[376/500] sample_id=857 correct=0 latency=9.672s tokens=256 tps=26.47
[377/500] sample_id=858 correct=1 latency=9.662s tokens=256 tps=26.49
[378/500] sample_id=860 correct=0 latency=9.716s tokens=256 tps=26.35
[379/500] sample_id=862 correct=0 latency=9.768s tokens=256 tps=26.21
[380/500] sample_id=863 correct=0 latency=9.699s tokens=256 tps=26.40
[381/500] sample_id=866 correct=0 latency=9.724s tokens=256 tps=26.33
[382/500] sample_id=868 correct=1 latency=9.644s tokens=256 tps=26.54
[383/500] sample_id=872 correct=0 latency=9.636s tokens=256 tps=26.57
[384/500] sample_id=873 correct=0 latency=9.675s tokens=256 tps=26.46
[385/500] sample_id=874 correct=1 latency=4.402s tokens=114 tps=25.90
[386/500] sample_id=875 correct=1 latency=9.713s tokens=256 tps=26.36
[387/500] sample_id=878 correct=1 latency=7.516s tokens=197 tps=26.21
[388/500] sample_id=879 correct=1 latency=7.797s tokens=205 tps=26.29
[389/500] sample_id=886 correct=0 latency=9.699s tokens=256 tps=26.39
[390/500] sample_id=887 correct=1 latency=8.991s tokens=238 tps=26.47
[391/500] sample_id=891 correct=1 latency=9.717s tokens=256 tps=26.35
[392/500] sample_id=892 correct=0 latency=9.737s tokens=256 tps=26.29
[393/500] sample_id=896 correct=1 latency=8.025s tokens=210 tps=26.17
[394/500] sample_id=898 correct=0 latency=9.780s tokens=256 tps=26.18
[395/500] sample_id=899 correct=1 latency=9.780s tokens=256 tps=26.18
[396/500] sample_id=900 correct=0 latency=9.720s tokens=256 tps=26.34
[397/500] sample_id=901 correct=0 latency=9.643s tokens=256 tps=26.55
[398/500] sample_id=906 correct=0 latency=9.699s tokens=256 tps=26.39
[399/500] sample_id=911 correct=0 latency=9.707s tokens=256 tps=26.37
[400/500] sample_id=912 correct=1 latency=9.006s tokens=237 tps=26.32
[401/500] sample_id=914 correct=1 latency=9.461s tokens=249 tps=26.32
[402/500] sample_id=916 correct=0 latency=9.722s tokens=256 tps=26.33
[403/500] sample_id=917 correct=1 latency=9.710s tokens=256 tps=26.37
[404/500] sample_id=920 correct=1 latency=9.706s tokens=256 tps=26.37
[405/500] sample_id=925 correct=1 latency=8.368s tokens=221 tps=26.41
[406/500] sample_id=930 correct=0 latency=9.749s tokens=256 tps=26.26
[407/500] sample_id=937 correct=0 latency=9.766s tokens=256 tps=26.21
[408/500] sample_id=938 correct=0 latency=9.766s tokens=256 tps=26.21
[409/500] sample_id=947 correct=0 latency=9.762s tokens=256 tps=26.22
[410/500] sample_id=948 correct=1 latency=9.504s tokens=249 tps=26.20
[411/500] sample_id=950 correct=0 latency=9.704s tokens=256 tps=26.38
[412/500] sample_id=954 correct=0 latency=9.668s tokens=256 tps=26.48
[413/500] sample_id=955 correct=0 latency=9.638s tokens=256 tps=26.56
[414/500] sample_id=956 correct=1 latency=9.126s tokens=242 tps=26.52
[415/500] sample_id=959 correct=0 latency=9.742s tokens=256 tps=26.28
[416/500] sample_id=962 correct=0 latency=9.723s tokens=256 tps=26.33
[417/500] sample_id=965 correct=1 latency=6.520s tokens=170 tps=26.07
[418/500] sample_id=966 correct=0 latency=9.745s tokens=256 tps=26.27
[419/500] sample_id=968 correct=0 latency=9.684s tokens=256 tps=26.43
[420/500] sample_id=970 correct=1 latency=9.707s tokens=256 tps=26.37
[421/500] sample_id=975 correct=0 latency=8.125s tokens=215 tps=26.46
[422/500] sample_id=976 correct=0 latency=9.689s tokens=256 tps=26.42
[423/500] sample_id=977 correct=1 latency=8.433s tokens=221 tps=26.21
[424/500] sample_id=980 correct=0 latency=9.721s tokens=256 tps=26.33
[425/500] sample_id=981 correct=1 latency=6.629s tokens=173 tps=26.10
[426/500] sample_id=983 correct=0 latency=9.723s tokens=256 tps=26.33
[427/500] sample_id=986 correct=1 latency=6.737s tokens=177 tps=26.27
[428/500] sample_id=988 correct=1 latency=7.180s tokens=189 tps=26.32
[429/500] sample_id=990 correct=0 latency=9.655s tokens=256 tps=26.51
[430/500] sample_id=991 correct=0 latency=9.700s tokens=256 tps=26.39
[431/500] sample_id=994 correct=1 latency=6.840s tokens=179 tps=26.17
[432/500] sample_id=999 correct=1 latency=9.748s tokens=256 tps=26.26
[433/500] sample_id=1001 correct=1 latency=7.355s tokens=192 tps=26.11
[434/500] sample_id=1004 correct=1 latency=8.142s tokens=213 tps=26.16
[435/500] sample_id=1005 correct=0 latency=9.755s tokens=256 tps=26.24
[436/500] sample_id=1008 correct=1 latency=9.687s tokens=256 tps=26.43
[437/500] sample_id=1009 correct=1 latency=9.663s tokens=256 tps=26.49
[438/500] sample_id=1011 correct=1 latency=6.903s tokens=182 tps=26.37
[439/500] sample_id=1012 correct=1 latency=8.377s tokens=221 tps=26.38
[440/500] sample_id=1013 correct=1 latency=9.684s tokens=256 tps=26.43
[441/500] sample_id=1016 correct=0 latency=9.683s tokens=256 tps=26.44
[442/500] sample_id=1021 correct=0 latency=9.677s tokens=256 tps=26.45
[443/500] sample_id=1028 correct=0 latency=9.705s tokens=256 tps=26.38
[444/500] sample_id=1029 correct=0 latency=9.653s tokens=256 tps=26.52
[445/500] sample_id=1031 correct=1 latency=9.702s tokens=256 tps=26.39
[446/500] sample_id=1033 correct=0 latency=9.750s tokens=256 tps=26.26
[447/500] sample_id=1036 correct=1 latency=9.749s tokens=256 tps=26.26
[448/500] sample_id=1038 correct=1 latency=7.397s tokens=193 tps=26.09
[449/500] sample_id=1041 correct=0 latency=9.759s tokens=256 tps=26.23
[450/500] sample_id=1044 correct=1 latency=9.762s tokens=256 tps=26.22
[451/500] sample_id=1045 correct=0 latency=9.723s tokens=256 tps=26.33
[452/500] sample_id=1047 correct=1 latency=6.693s tokens=176 tps=26.30
[453/500] sample_id=1049 correct=1 latency=7.926s tokens=209 tps=26.37
[454/500] sample_id=1050 correct=1 latency=8.379s tokens=221 tps=26.37
[455/500] sample_id=1051 correct=0 latency=9.659s tokens=256 tps=26.50
[456/500] sample_id=1053 correct=1 latency=7.775s tokens=205 tps=26.37
[457/500] sample_id=1056 correct=1 latency=9.695s tokens=256 tps=26.40
[458/500] sample_id=1058 correct=1 latency=8.899s tokens=233 tps=26.18
[459/500] sample_id=1059 correct=0 latency=9.745s tokens=256 tps=26.27
[460/500] sample_id=1061 correct=1 latency=9.727s tokens=256 tps=26.32
[461/500] sample_id=1064 correct=0 latency=9.696s tokens=256 tps=26.40
[462/500] sample_id=1065 correct=1 latency=9.654s tokens=256 tps=26.52
[463/500] sample_id=1073 correct=1 latency=8.109s tokens=214 tps=26.39
[464/500] sample_id=1074 correct=0 latency=9.706s tokens=256 tps=26.37
[465/500] sample_id=1076 correct=0 latency=9.725s tokens=256 tps=26.32
[466/500] sample_id=1077 correct=1 latency=7.523s tokens=197 tps=26.19
[467/500] sample_id=1078 correct=0 latency=9.701s tokens=256 tps=26.39
[468/500] sample_id=1079 correct=0 latency=9.648s tokens=256 tps=26.53
[469/500] sample_id=1080 correct=1 latency=9.660s tokens=256 tps=26.50
[470/500] sample_id=1081 correct=0 latency=9.706s tokens=256 tps=26.38
[471/500] sample_id=1101 correct=0 latency=9.750s tokens=256 tps=26.26
[472/500] sample_id=1102 correct=0 latency=9.759s tokens=256 tps=26.23
[473/500] sample_id=1104 correct=0 latency=9.759s tokens=256 tps=26.23
[474/500] sample_id=1105 correct=1 latency=9.765s tokens=256 tps=26.22
[475/500] sample_id=1106 correct=0 latency=9.697s tokens=256 tps=26.40
[476/500] sample_id=1107 correct=1 latency=7.778s tokens=205 tps=26.36
[477/500] sample_id=1110 correct=1 latency=9.251s tokens=245 tps=26.48
[478/500] sample_id=1111 correct=1 latency=9.633s tokens=255 tps=26.47
[479/500] sample_id=1112 correct=0 latency=9.686s tokens=256 tps=26.43
[480/500] sample_id=1114 correct=0 latency=9.686s tokens=256 tps=26.43
[481/500] sample_id=1117 correct=1 latency=7.567s tokens=199 tps=26.30
[482/500] sample_id=1122 correct=1 latency=9.568s tokens=253 tps=26.44
[483/500] sample_id=1126 correct=1 latency=5.919s tokens=155 tps=26.19
[484/500] sample_id=1128 correct=1 latency=9.678s tokens=256 tps=26.45
[485/500] sample_id=1130 correct=1 latency=9.696s tokens=256 tps=26.40
[486/500] sample_id=1132 correct=1 latency=6.126s tokens=159 tps=25.96
[487/500] sample_id=1134 correct=0 latency=9.762s tokens=256 tps=26.22
[488/500] sample_id=1136 correct=0 latency=9.762s tokens=256 tps=26.22
[489/500] sample_id=1138 correct=1 latency=6.469s tokens=168 tps=25.97
[490/500] sample_id=1142 correct=0 latency=9.770s tokens=256 tps=26.20
[491/500] sample_id=1146 correct=0 latency=9.721s tokens=256 tps=26.33
[492/500] sample_id=1147 correct=0 latency=9.665s tokens=256 tps=26.49
[493/500] sample_id=1150 correct=0 latency=9.650s tokens=256 tps=26.53
[494/500] sample_id=1154 correct=0 latency=9.658s tokens=256 tps=26.51
[495/500] sample_id=1155 correct=0 latency=9.675s tokens=256 tps=26.46
[496/500] sample_id=1156 correct=1 latency=8.791s tokens=232 tps=26.39
[497/500] sample_id=1158 correct=1 latency=6.893s tokens=180 tps=26.11
[498/500] sample_id=1159 correct=1 latency=9.749s tokens=256 tps=26.26
[499/500] sample_id=1160 correct=0 latency=9.707s tokens=256 tps=26.37
[500/500] sample_id=1167 correct=1 latency=9.722s tokens=256 tps=26.33
Saved: /home/manikm/llm-pareto-2026/results/raw/journal_full500_v1__qwen3_30b_a3b__arc_challenge__few_shot_cot__n500.csv
Saved combined: /home/manikm/llm-pareto-2026/results/raw/journal_full500_v1__qwen3_30b_a3b__ALL_RUNS__n500.csv
[Mon Apr 20 10:39:55 PM EDT 2026] GPU=1 model=gemma_4_26b_a4b dataset=arc_challenge strategy=zero_shot max_new_tokens=256

--- model=gemma_4_26b_a4b dataset=arc_challenge strategy=zero_shot n=500 ---
[1/500] sample_id=4 correct=0 latency=12.121s tokens=256 tps=21.12
[2/500] sample_id=10 correct=1 latency=0.440s tokens=8 tps=18.20
[3/500] sample_id=11 correct=1 latency=0.259s tokens=4 tps=15.45
[4/500] sample_id=12 correct=1 latency=0.845s tokens=17 tps=20.12
[5/500] sample_id=14 correct=1 latency=0.839s tokens=17 tps=20.25
[6/500] sample_id=16 correct=1 latency=0.851s tokens=17 tps=19.99
[7/500] sample_id=17 correct=1 latency=11.554s tokens=256 tps=22.16
[8/500] sample_id=18 correct=1 latency=0.356s tokens=6 tps=16.83
[9/500] sample_id=19 correct=1 latency=0.845s tokens=17 tps=20.13
[10/500] sample_id=22 correct=1 latency=0.260s tokens=4 tps=15.39
[11/500] sample_id=26 correct=1 latency=11.585s tokens=256 tps=22.10
[12/500] sample_id=30 correct=1 latency=11.612s tokens=256 tps=22.05
[13/500] sample_id=31 correct=1 latency=0.618s tokens=12 tps=19.41
[14/500] sample_id=33 correct=1 latency=0.302s tokens=5 tps=16.58
[15/500] sample_id=34 correct=1 latency=0.792s tokens=16 tps=20.20
[16/500] sample_id=35 correct=1 latency=0.261s tokens=4 tps=15.35
[17/500] sample_id=37 correct=1 latency=0.304s tokens=5 tps=16.45
[18/500] sample_id=38 correct=1 latency=0.301s tokens=5 tps=16.64
[19/500] sample_id=41 correct=1 latency=0.572s tokens=11 tps=19.25
[20/500] sample_id=43 correct=1 latency=11.557s tokens=256 tps=22.15
[21/500] sample_id=44 correct=0 latency=3.553s tokens=77 tps=21.67
[22/500] sample_id=46 correct=1 latency=0.844s tokens=17 tps=20.15
[23/500] sample_id=48 correct=1 latency=11.594s tokens=256 tps=22.08
[24/500] sample_id=49 correct=1 latency=11.578s tokens=256 tps=22.11
[25/500] sample_id=50 correct=1 latency=0.263s tokens=4 tps=15.20
[26/500] sample_id=53 correct=1 latency=0.258s tokens=4 tps=15.50
[27/500] sample_id=56 correct=1 latency=0.847s tokens=17 tps=20.07
[28/500] sample_id=57 correct=1 latency=11.597s tokens=256 tps=22.07
[29/500] sample_id=64 correct=1 latency=0.624s tokens=12 tps=19.22
[30/500] sample_id=66 correct=1 latency=0.305s tokens=5 tps=16.38
[31/500] sample_id=67 correct=1 latency=11.517s tokens=256 tps=22.23
[32/500] sample_id=68 correct=1 latency=11.515s tokens=256 tps=22.23
[33/500] sample_id=73 correct=1 latency=11.561s tokens=256 tps=22.14
